first_order_month	0	1	2	3	4	5	6	7	8	9	10	11
2016-06-01	1.1413508121972071	1.220005699629524	1.2898261612995157	1.4155029923055003	1.5844970076945	1.7343972641778285	1.8888572242804218	2.021658592191508	2.1712738671986322	2.284126531775435	2.345397549159305	2.389284696494728
2016-07-01	1.1192332683560753	1.1637426900584795	1.2160493827160495	1.2660818713450293	1.2998700454840806	1.3323586744639377	1.3570500324886292	1.3827160493827162	1.4100064977257962	1.4204028589993505	1.4424951267056532	
2016-08-01	1.0975828111011638	1.1821844225604297	1.2506714413607878	1.3008057296329454	1.3616830796777082	1.41047448522829	1.4583706356311548	1.5102954341987465	1.5438675022381376	1.570277529095792		
2016-09-01	1.1167076167076166	1.1936117936117936	1.247911547911548	1.2997542997542997	1.3235872235872235	1.3565110565110563	1.391154791154791	1.4083538083538083	1.4272727272727272			
2016-10-01	1.1233100579408706	1.1876392809389391	1.222552369633041	1.2461744168771354	1.270984994800178	1.2923785470212446	1.3103550735403353	1.334274253454167				
2016-11-01	1.154744285479362	1.231047525078112	1.2691991448774873	1.3122841637888505	1.3400756454530505	1.3529024831442198	1.3721427396809736					
2016-12-01	1.1268248175182483	1.1786800486618005	1.217153284671533	1.249087591240876	1.2644464720194648	1.28345498783455						
2017-01-01	1.1041913799920917	1.168248319493871	1.2147093712930013	1.2309213127718466	1.2497034400948992							
2017-02-01	1.1012472487160676	1.150586940572267	1.1705796038151137	1.1867204695524578								
2017-03-01	1.1365816228659122	1.1826203721465567	1.226932668329177									
2017-04-01	1.0804154302670623	1.1495548961424333										
2017-05-01	1.0740153915799004											
2017-06-01	1.0											
