first_order_month	0	1	2	3	4	5	6	7	8	9	10	11
2016-06-01	3.9612958801497875	6.197608695652179	5.506000000000007	8.57664399092971	8.811973018549732	8.138650190114069	6.786678966789675	6.917532188841201	5.723219047619048	7.840631313131317	13.297953488372096	8.672662337662327
2016-07-01	5.16671988388967	5.779124087591242	10.310496894409932	6.601688311688312	4.472884615384613	3.705900000000002	4.181578947368419	5.212531645569622	6.0094047619047615	12.703437500000001	5.266911764705882	
2016-08-01	4.806888254486118	11.82111111111112	6.409477124183006	6.83321428571429	7.19610294117647	7.334036697247703	5.361495327102807	5.91344827586207	8.806666666666672	5.328813559322035		
2016-09-01	4.7394631463145975	12.193322683706084	8.280135746606332	50.654928909952616	11.810309278350516	13.472537313432838	16.342056737588653	10.294142857142857	7.152467532467534			
2016-10-01	4.202490411321194	7.101616628175523	4.511659574468087	5.581446540880502	4.64431137724551	4.910069444444446	5.0518181818181835	4.136894409937891				
2016-11-01	4.496633437766944	4.215474137931033	4.742629310344833	6.266946564885496	4.765384615384617	4.961794871794874	4.734188034188036					
2016-12-01	4.005914979757027	3.96149560117302	16.870434782608697	22.769238095238098	14.21762376237623	12.144240000000002						
2017-01-01	3.6660429722470687	4.09768518518519	5.370382978723406	7.120731707317075	2.731578947368421							
2017-02-01	3.721365756162521	4.316133828996288	3.5078899082568857	3.9847727272727282								
2017-03-01	3.992902953586465	5.519583333333332	9.428051948051948									
2017-04-01	4.264001647898911	5.940343347639489										
2017-05-01	4.267369863013666											
2017-06-01	10.325											
